"filename", "language", "C#", "JSON", "XML", "HTTP", "MSBuild", "HTML", "TypeScript", "JSON with Comments", "PostCSS", "Markdown", "JavaScript", "comment", "blank", "total"
"d:\Projects\IDo\src\IDo.Domain\Entities\Projects\ProjectSection.cs", "C#", 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 25
"d:\Projects\IDo\src\IDo.Domain\Entities\TaskRequests\TaskRequest.cs", "C#", 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 25
"d:\Projects\IDo\src\IDo.Domain\Entities\Tasks\IDoTask.cs", "C#", 33, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 36
"d:\Projects\IDo\src\IDo.Domain\Entities\Tasks\TaskComment.cs", "C#", 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 14
"d:\Projects\IDo\src\IDo.Domain\Entities\Users\User.cs", "C#", 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 21
"d:\Projects\IDo\src\IDo.Domain\Enums\DomainEnums.cs", "C#", 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 17
"d:\Projects\IDo\src\IDo.Domain\Events\IDomainEvent.cs", "C#", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 7
"d:\Projects\IDo\src\IDo.Domain\Exceptions\DomainException.cs", "C#", 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 4
"d:\Projects\IDo\src\IDo.Domain\IDo.Domain.csproj", "MSBuild", 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 3, 10
"d:\Projects\IDo\src\IDo.Domain\ValueObjects\UserSettings.cs", "C#", 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 11
"d:\Projects\IDo\src\IDo.Infrastructure\DependencyInjection\DependencyInjection.cs", "C#", 56, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 63
"d:\Projects\IDo\src\IDo.Infrastructure\GlobalUsings.cs", "C#", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"d:\Projects\IDo\src\IDo.Infrastructure\IDo.Infrastructure.csproj", "MSBuild", 0, 0, 0, 0, 19, 0, 0, 0, 0, 0, 0, 0, 5, 24
"d:\Projects\IDo\src\IDo.Infrastructure\Identity\ApplicationRole.cs", "C#", 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 6
"d:\Projects\IDo\src\IDo.Infrastructure\Identity\ApplicationUser.cs", "C#", 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 11
"d:\Projects\IDo\src\IDo.Infrastructure\Identity\Configurations\ApplicationRoleConfiguration.cs", "C#", 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 16
"d:\Projects\IDo\src\IDo.Infrastructure\Identity\Configurations\ApplicationUserConfiguration.cs", "C#", 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 23
"d:\Projects\IDo\src\IDo.Infrastructure\Identity\IdentityAccountService.cs", "C#", 54, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 64
"d:\Projects\IDo\src\IDo.Infrastructure\Notifications\NoOpNotificationPublisher.cs", "C#", 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 9
"d:\Projects\IDo\src\IDo.Infrastructure\Persistence\Configurations\Habits\HabitConfiguration.cs", "C#", 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 24
"d:\Projects\IDo\src\IDo.Infrastructure\Persistence\Configurations\Habits\HabitLogConfiguration.cs", "C#", 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 21
"d:\Projects\IDo\src\IDo.Infrastructure\Persistence\Configurations\Habits\HabitScheduleDayConfiguration.cs", "C#", 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 19
"d:\Projects\IDo\src\IDo.Infrastructure\Persistence\Configurations\Notifications\NotificationConfiguration.cs", "C#", 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 24
"d:\Projects\IDo\src\IDo.Infrastructure\Persistence\Configurations\Projects\ProjectConfiguration.cs", "C#", 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 23
"d:\Projects\IDo\src\IDo.Infrastructure\Persistence\Configurations\Projects\ProjectMemberConfiguration.cs", "C#", 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 22
"d:\Projects\IDo\src\IDo.Infrastructure\Persistence\Configurations\Projects\ProjectSectionConfiguration.cs", "C#", 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 28
"d:\Projects\IDo\src\IDo.Infrastructure\Persistence\Configurations\TaskRequests\TaskRequestConfiguration.cs", "C#", 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 31
"d:\Projects\IDo\src\IDo.Infrastructure\Persistence\Configurations\Tasks\IDoTaskConfiguration.cs", "C#", 32, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 35
"d:\Projects\IDo\src\IDo.Infrastructure\Persistence\Configurations\Tasks\TaskCommentConfiguration.cs", "C#", 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 20
"d:\Projects\IDo\src\IDo.Infrastructure\Persistence\Configurations\Users\UserConfiguration.cs", "C#", 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 30
"d:\Projects\IDo\src\IDo.Infrastructure\Persistence\IDoDatabaseSchema.cs", "C#", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 7
"d:\Projects\IDo\src\IDo.Infrastructure\Persistence\IDoDbContext.cs", "C#", 53, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 60
"d:\Projects\IDo\src\IDo.Infrastructure\Persistence\Interceptors\InterceptorMarker.cs", "C#", 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 4
"d:\Projects\IDo\src\IDo.Infrastructure\Persistence\Migrations\20260528203650_InitialCreate.Designer.cs", "C#", 862, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 322, 1186
"d:\Projects\IDo\src\IDo.Infrastructure\Persistence\Migrations\20260528203650_InitialCreate.cs", "C#", 804, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 74, 881
"d:\Projects\IDo\src\IDo.Infrastructure\Persistence\Migrations\20260531073906_ProjectsCollaborationRequests.Designer.cs", "C#", 938, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 353, 1293
"d:\Projects\IDo\src\IDo.Infrastructure\Persistence\Migrations\20260531073906_ProjectsCollaborationRequests.cs", "C#", 337, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 59, 399
"d:\Projects\IDo\src\IDo.Infrastructure\Persistence\Migrations\IDoDbContextModelSnapshot.cs", "C#", 936, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 353, 1290
"d:\Projects\IDo\src\IDo.Infrastructure\Persistence\Repositories\Common\EfRepository.cs", "C#", 39, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 52
"d:\Projects\IDo\src\IDo.Infrastructure\Persistence\Repositories\Habits\HabitLogRepository.cs", "C#", 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 20
"d:\Projects\IDo\src\IDo.Infrastructure\Persistence\Repositories\Habits\HabitRepository.cs", "C#", 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 33
"d:\Projects\IDo\src\IDo.Infrastructure\Persistence\Repositories\Notifications\NotificationRepository.cs", "C#", 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 26
"d:\Projects\IDo\src\IDo.Infrastructure\Persistence\Repositories\Projects\ProjectMemberRepository.cs", "C#", 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 33
"d:\Projects\IDo\src\IDo.Infrastructure\Persistence\Repositories\Projects\ProjectRepository.cs", "C#", 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 33
"d:\Projects\IDo\src\IDo.Infrastructure\Persistence\Repositories\Projects\ProjectSectionRepository.cs", "C#", 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 16
"d:\Projects\IDo\src\IDo.Infrastructure\Persistence\Repositories\TaskRequests\TaskRequestRepository.cs", "C#", 47, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 54
"d:\Projects\IDo\src\IDo.Infrastructure\Persistence\Repositories\Tasks\TaskCommentRepository.cs", "C#", 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 9
"d:\Projects\IDo\src\IDo.Infrastructure\Persistence\Repositories\Tasks\TaskRepository.cs", "C#", 52, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 61
"d:\Projects\IDo\src\IDo.Infrastructure\Persistence\Repositories\Users\UserRepository.cs", "C#", 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 9
"d:\Projects\IDo\src\IDo.Infrastructure\Persistence\Seed\SeedMarker.cs", "C#", 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 4
"d:\Projects\IDo\src\IDo.Infrastructure\Persistence\UnitOfWork.cs", "C#", 44, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 49
"d:\Projects\IDo\src\IDo.Services\DependencyInjection.cs", "C#", 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 23
"d:\Projects\IDo\src\IDo.Services\IDo.Services.csproj", "MSBuild", 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 5, 19
"d:\Projects\IDo\src\IDo.Services\Rules\BusinessRules.cs", "C#", 61, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 69
"d:\Projects\IDo\src\IDo.Services\Services\HabitService.cs", "C#", 82, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 92
"d:\Projects\IDo\src\IDo.Services\Services\NotificationService.cs", "C#", 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 33
"d:\Projects\IDo\src\IDo.Services\Services\ProgressService.cs", "C#", 55, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 62
"d:\Projects\IDo\src\IDo.Services\Services\ProjectPermissionService.cs", "C#", 63, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 72
"d:\Projects\IDo\src\IDo.Services\Services\ProjectService.cs", "C#", 273, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 30, 303
